epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1043,0.7086,3.05699,1.08294,0.00426,1,0.83216,0.7204,0.53237,3.45783,0.96551,0.0004287,0.0004287,0.0004287
2,17.7972,0.76676,1.69301,1.06724,0.85979,0.61887,0.91827,0.72486,0.7744,2.9945,1.1893,0.00086306,0.00086306,0.00086306
3,21.4329,0.69966,1.31416,1.00636,0.88615,0.86717,0.97848,0.72575,0.94948,2.42896,1.22048,0.00128865,0.00128865,0.00128865
4,25.0463,0.68973,1.17437,1.00394,0.60726,0.61483,0.71133,0.54062,0.81168,3.09329,1.11396,0.00138656,0.00138656,0.00138656
5,28.7142,0.65629,1.03761,1.0066,0.87672,0.87156,0.99128,0.80581,0.73591,1.53298,1.08168,0.00137241,0.00137241,0.00137241
6,32.4679,0.61326,0.92945,0.97307,0.92401,0.96292,0.97815,0.75859,0.79383,1.36673,1.08425,0.00135826,0.00135826,0.00135826
7,36.0595,0.64446,0.84999,0.97399,0.9765,0.95,0.99078,0.76916,0.77942,1.18249,1.08122,0.00134412,0.00134412,0.00134412
8,39.6754,0.59818,0.76381,0.95438,0.92243,0.92943,0.97352,0.79953,0.7055,1.27796,1.03481,0.00132997,0.00132997,0.00132997
9,43.2681,0.59762,0.7225,0.96153,0.99596,0.99805,0.995,0.81795,0.71294,0.90243,1.02457,0.00131582,0.00131582,0.00131582
10,46.8898,0.58944,0.65257,0.96323,0.9039,0.89877,0.93002,0.79729,0.5969,0.93711,0.97627,0.00130168,0.00130168,0.00130168
11,50.5006,0.58479,0.62936,0.94996,0.95927,0.98139,0.99452,0.81713,0.70027,0.80826,1.05081,0.00128753,0.00128753,0.00128753
12,54.0917,0.60091,0.6078,0.95422,0.99724,1,0.995,0.83489,0.60906,0.59607,1.00468,0.00127338,0.00127338,0.00127338
13,57.7648,0.54956,0.5787,0.93753,0.99602,1,0.995,0.82729,0.66984,0.54327,1.02457,0.00125923,0.00125923,0.00125923
14,61.5676,0.59601,0.57908,0.97643,0.98521,0.99859,0.99484,0.78962,0.73096,0.59594,1.08191,0.00124509,0.00124509,0.00124509
15,65.1664,0.55793,0.51968,0.93987,0.97259,0.97207,0.98846,0.81102,0.68269,0.54271,1.01052,0.00123094,0.00123094,0.00123094
16,68.7134,0.52419,0.47626,0.92524,0.9809,1,0.99484,0.83127,0.67055,0.5019,1.03237,0.00121679,0.00121679,0.00121679
17,72.2465,0.55196,0.48688,0.94019,0.99345,1,0.995,0.82453,0.65531,0.52775,1.02201,0.00120265,0.00120265,0.00120265
